Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,-5.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E+00,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,2.000E-03,
Firmware,V1.18,
Time,29-Jun-15 15:03:31,
Mode,Detail,
Waveform Data,
-3.534000e+00,9.60e-01,
-3.532000e+00,1.02e+00,
-3.530000e+00,9.60e-01,
-3.528000e+00,1.00e+00,
-3.526000e+00,9.40e-01,
-3.524000e+00,9.40e-01,
-3.522000e+00,1.00e+00,
-3.520000e+00,9.60e-01,
-3.518000e+00,1.02e+00,
-3.516000e+00,1.04e+00,
-3.514000e+00,1.00e+00,
-3.512000e+00,1.04e+00,
-3.510000e+00,1.00e+00,
-3.508000e+00,1.02e+00,
-3.506000e+00,9.60e-01,
-3.504000e+00,1.00e+00,
-3.502000e+00,9.60e-01,
-3.500000e+00,9.60e-01,
-3.498000e+00,1.02e+00,
-3.496000e+00,1.02e+00,
-3.494000e+00,9.80e-01,
-3.492000e+00,1.00e+00,
-3.490000e+00,9.40e-01,
-3.488000e+00,9.60e-01,
